"No.","Time","Source","Destination","Protocol","Length","Info"
"2841","63.319454","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2843","63.334813","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2846","63.357048","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2848","63.383421","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2856","63.446510","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2858","63.456282","192.168.2.107","5.42.169.125","UDP","131","51791  >  26508 Len=89"
"2860","63.475829","192.168.2.107","5.42.169.125","UDP","102","51791  >  26508 Len=60"
"2863","63.498894","192.168.2.107","5.42.169.125","UDP","102","51791  >  26508 Len=60"
"2869","63.560483","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2871","63.573206","192.168.2.107","5.42.169.125","UDP","102","51791  >  26508 Len=60"
"2872","63.588752","192.168.2.107","5.42.169.125","UDP","102","51791  >  26508 Len=60"
"2875","63.603485","192.168.2.107","5.42.169.125","UDP","102","51791  >  26508 Len=60"
"2877","63.623237","192.168.2.107","5.42.169.125","UDP","102","51791  >  26508 Len=60"
"2879","63.633470","192.168.2.107","5.42.169.125","UDP","102","51791  >  26508 Len=60"
"2880","63.646070","192.168.2.107","5.42.169.125","UDP","102","51791  >  26508 Len=60"
"2883","63.668133","192.168.2.107","5.42.169.125","UDP","100","51791  >  26508 Len=58"
"2885","63.680097","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2887","63.695387","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2888","63.705511","192.168.2.107","5.42.169.125","UDP","131","51791  >  26508 Len=89"
"2890","63.716430","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2892","63.727502","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2894","63.752579","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2896","63.762844","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2898","63.776377","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2902","63.831539","192.168.2.107","5.42.169.125","UDP","108","51791  >  26508 Len=66"
"2904","63.846167","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2906","63.860592","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
