"No.","Time","Source","Destination","Protocol","Length","Info"
"1057","115.021071","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1059","115.036307","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1060","115.051616","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1063","115.066614","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1065","115.082616","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1067","115.097190","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1070","115.112242","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"1071","115.127467","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1073","115.144619","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1076","115.159994","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1077","115.174620","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1079","115.190019","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1081","115.205332","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1083","115.220173","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1085","115.235549","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1087","115.250619","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1089","115.266619","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1091","115.280625","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1093","115.296624","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1094","115.311623","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1097","115.326280","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1099","115.341543","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1101","115.357056","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1104","115.372620","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"1105","115.387622","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1107","115.402625","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1109","115.417627","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1111","115.433123","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1113","115.447625","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1115","115.463624","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1117","115.479625","5.42.173.252","192.168.2.107","UDP","224","26515  >  61165 Len=182"
"1120","115.494624","5.42.173.252","192.168.2.107","UDP","101","26515  >  61165 Len=59"
"1122","115.507625","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1123","115.523121","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1126","115.538625","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1128","115.553629","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1129","115.569602","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1132","115.584301","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1134","115.600527","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1136","115.614528","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1139","115.630076","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"1140","115.645630","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1142","115.659868","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1144","115.675561","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1146","115.690983","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1148","115.706385","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1150","115.720973","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1152","115.736562","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1154","115.752438","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1156","115.767632","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1157","115.782930","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1159","115.797901","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1162","115.812119","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1163","115.826910","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1165","115.842418","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1168","115.858634","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1169","115.873639","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1172","115.889632","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"1173","115.904637","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1175","115.919637","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1178","115.934633","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1180","115.949642","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
